Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),X_axis (),Y_axis (),Z_axis ()
508,1661422118001,8540.0,56.0,588.0
509,1661422118001,8452.0,-96.0,420.0
510,1661422118005,8608.0,-44.0,472.0
511,1661422118006,8572.0,256.0,644.0
512,1661422118008,8404.0,-224.0,472.0
513,1661422118010,8644.0,56.0,508.0
514,1661422118013,8532.0,-12.0,624.0
515,1661422118015,8340.0,-48.0,300.0
516,1661422118017,8344.0,52.0,776.0
517,1661422118018,8700.0,-180.0,660.0
518,1661422118023,8532.0,-76.0,468.0
519,1661422118023,8464.0,56.0,440.0
520,1661422118026,8616.0,92.0,676.0
521,1661422118029,8592.0,-140.0,552.0
522,1661422118030,8376.0,88.0,560.0
523,1661422118033,8160.0,-216.0,536.0
524,1661422118034,8592.0,-348.0,528.0
525,1661422118037,8548.0,252.0,528.0
526,1661422118039,8368.0,-148.0,548.0
527,1661422118041,8568.0,-20.0,604.0
528,1661422118043,8276.0,-56.0,396.0
529,1661422118047,8620.0,172.0,564.0
530,1661422118047,7992.0,-252.0,336.0
531,1661422118051,8832.0,168.0,708.0
532,1661422118052,8544.0,-396.0,520.0
533,1661422118054,8612.0,108.0,688.0
534,1661422118057,8568.0,296.0,660.0
535,1661422118058,8428.0,-140.0,484.0
536,1661422118061,8344.0,60.0,472.0
537,1661422118063,8744.0,-160.0,456.0
538,1661422118065,8436.0,-8.0,540.0
539,1661422118067,8632.0,56.0,580.0
540,1661422118069,8592.0,-24.0,556.0
541,1661422118072,8248.0,96.0,596.0
542,1661422118074,8424.0,-96.0,460.0
543,1661422118077,8632.0,252.0,644.0
544,1661422118078,8316.0,-60.0,256.0
545,1661422118079,8884.0,136.0,736.0
546,1661422118082,8228.0,-208.0,648.0
547,1661422118085,8800.0,112.0,348.0
548,1661422118086,8524.0,16.0,652.0
549,1661422118090,8548.0,-68.0,496.0
550,1661422118093,8312.0,64.0,668.0
551,1661422118093,8688.0,-332.0,652.0
552,1661422118096,8496.0,112.0,396.0
553,1661422118098,8300.0,-88.0,644.0
554,1661422118100,8568.0,-148.0,528.0
555,1661422118103,8332.0,156.0,552.0
556,1661422118105,8676.0,-68.0,444.0
557,1661422118107,8348.0,152.0,460.0
558,1661422118109,8468.0,108.0,556.0
559,1661422118111,8392.0,-128.0,440.0
560,1661422118114,8564.0,28.0,684.0
561,1661422118115,8392.0,76.0,448.0
562,1661422118118,8588.0,24.0,604.0
563,1661422118120,8616.0,-348.0,480.0
564,1661422118122,8508.0,292.0,596.0
565,1661422118124,8316.0,-384.0,496.0
566,1661422118127,8632.0,216.0,572.0
567,1661422118129,8656.0,-20.0,452.0
568,1661422118131,8508.0,-192.0,580.0
569,1661422118133,8276.0,188.0,536.0
570,1661422118136,8488.0,-196.0,512.0
571,1661422118137,8560.0,-76.0,440.0
572,1661422118140,8688.0,324.0,532.0
573,1661422118142,8372.0,-356.0,408.0
574,1661422118144,8748.0,112.0,524.0
575,1661422118147,8652.0,268.0,476.0
576,1661422118149,8468.0,-184.0,416.0
577,1661422118152,8492.0,188.0,568.0
578,1661422118153,8348.0,-376.0,528.0
579,1661422118155,8704.0,-104.0,480.0
580,1661422118157,8508.0,244.0,536.0
581,1661422118159,8708.0,-160.0,700.0
582,1661422118162,8656.0,-56.0,496.0
583,1661422118163,8388.0,0.0,540.0
584,1661422118168,8448.0,280.0,476.0
585,1661422118168,8556.0,-128.0,552.0
586,1661422118172,8468.0,164.0,548.0
587,1661422118172,8604.0,-56.0,732.0
588,1661422118175,8576.0,-296.0,520.0
589,1661422118177,8504.0,360.0,584.0
590,1661422118178,8640.0,-268.0,464.0
591,1661422118180,8372.0,-148.0,340.0
592,1661422118185,8632.0,252.0,488.0
593,1661422118186,8388.0,-188.0,408.0
594,1661422118188,7932.0,-136.0,472.0
595,1661422118190,8784.0,220.0,776.0
596,1661422118192,8308.0,-364.0,648.0
597,1661422118194,8524.0,84.0,656.0
598,1661422118196,8504.0,116.0,592.0
599,1661422118199,8504.0,-180.0,468.0
600,1661422118201,8576.0,216.0,812.0
601,1661422118203,8328.0,-124.0,772.0
602,1661422118205,8368.0,-96.0,396.0
603,1661422118208,8476.0,-24.0,776.0
604,1661422118210,8616.0,-424.0,324.0
605,1661422118212,8304.0,252.0,544.0
606,1661422118213,8776.0,-144.0,492.0
607,1661422118217,8652.0,220.0,548.0
608,1661422118220,8344.0,252.0,348.0
609,1661422118221,8464.0,-276.0,452.0
610,1661422118223,8288.0,-40.0,548.0
611,1661422118225,8736.0,-240.0,588.0
612,1661422118228,8452.0,-236.0,580.0
613,1661422118228,8632.0,4.0,612.0
614,1661422118232,8392.0,-124.0,456.0
615,1661422118234,8708.0,344.0,832.0
616,1661422118236,8440.0,-100.0,392.0
617,1661422118238,8328.0,68.0,688.0
618,1661422118241,8696.0,-164.0,556.0
619,1661422118243,8372.0,-4.0,412.0
620,1661422118244,8332.0,68.0,436.0
621,1661422118247,8388.0,-80.0,496.0
622,1661422118251,8324.0,-188.0,432.0
623,1661422118251,8792.0,108.0,496.0
624,1661422118254,8452.0,-180.0,472.0
625,1661422118256,8524.0,-48.0,432.0
626,1661422118260,8468.0,-56.0,640.0
627,1661422118260,8596.0,-96.0,532.0
628,1661422118263,8428.0,28.0,808.0
629,1661422118266,8676.0,-68.0,488.0
