Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),X_axis (),Y_axis (),Z_axis ()
613,1661422685945,8584.0,436.0,604.0
614,1661422685948,8160.0,68.0,456.0
615,1661422685951,8880.0,-288.0,352.0
616,1661422685953,8440.0,12.0,416.0
617,1661422685955,8576.0,80.0,404.0
618,1661422685957,8568.0,-576.0,512.0
619,1661422685959,8496.0,-64.0,524.0
620,1661422685962,8656.0,32.0,760.0
621,1661422685963,8552.0,-16.0,404.0
622,1661422685966,8484.0,320.0,628.0
623,1661422685968,8356.0,-632.0,448.0
624,1661422685970,8628.0,336.0,492.0
625,1661422685973,8636.0,-280.0,384.0
626,1661422685975,8396.0,-112.0,444.0
627,1661422685977,8560.0,76.0,420.0
628,1661422685978,8392.0,-228.0,556.0
